acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Divinópolis do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Divinópolis do Tocantins,1
Compra Direta (PAA),Guaraí,1
CAF,Silvanópolis,1
Crédito Rural,Santa Fé do Araguaia,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Riachinho,1
FOMENTO,Palmeiras do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Paraíso do Tocantins,1
Não,Dianópolis,1
"Compra Direta (PAA), Bolsa Família",Rio Sono,1
"Compra Direta (PAA), Fomento",,1
"Crédito Rural, Aposentadoria Rural",Lajeado,1
Crédito Rural,Caseara,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Abreulândia,1
ATER NORMAL,darcinópolis,1
"Crédito Rural, Bolsa Família",Divinópolis do Tocantins,1
