atividade_produtiva,municipio_ibge,count
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Miranorte,1
"Avicultura, Suinocultura, Mandiocultura",Almas,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Monte Santo do Tocantins,1
"Bovinocultura de Leite, Culturas Anuais",Axixá do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Miranorte,1
"Bovinocultura de corte, Culturas Anuais",Paranã,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Miranorte,1
"Avicultura, Pisicultura, Culturas Anuais",Filadélfia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Suinocultura, Olericultura",Marianópolis do Tocantins,1
"Apicultura/meliponicultura, Mandiocultura",São Bento do Tocantins,1
"Avicultura, Fruticultura, Culturas Anuais",Araguatins,1
"Avicultura, Olericultura, Culturas Anuais",Araguaína,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Ovinocaprinocultura",Pedro Afonso,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Miranorte,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Olericultura",Xambioá,1
"Mandiocultura, Fruticultura, Olericultura",Dianópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura",Marianópolis do Tocantins,1
"Avicultura, Mandiocultura, Culturas Anuais",Babaçulândia,1
Bovinocultura de corte,Tocantínia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Olericultura, Culturas Anuais",Piraquê,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",Almas,1
"Avicultura, Mandiocultura, Culturas Anuais",Angico,1
"Bovinocultura de corte, Avicultura, Mandiocultura, Culturas Anuais",Divinópolis do Tocantins,1
"Avicultura, Mandiocultura, Culturas Anuais",Marianópolis do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",Babaçulândia,1
"Mandiocultura, Extrativismo Vegetal, PESCA",Lagoa da Confusão,1
"Bovinocultura de corte, Avicultura, Turismo",Caseara,1
"Bovinocultura de corte, Ovinocaprinocultura",Paranã,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura",Pium,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura",Piraquê,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura",Piraquê,1
"Mandiocultura, Olericultura, Culturas Anuais",Wanderlândia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Olericultura, Culturas Anuais",Piraquê,1
"Bovinocultura de corte, Avicultura, Apicultura",Araguaçu,1
"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",Xambioá,1
"Bovinocultura de corte, Bovinocultura de Leite",Muricilândia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Praia Norte,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Olericultura, Culturas Anuais",Angico,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",Novo Acordo,1
