uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_original,Record Count,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
"Rotação de Cultura, Aceiros",Não possui degradação,Araguanã,2,araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Aceiros,Pouco degradado,DIVINÓPOLIS,2,divinopolis,,,,,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins,divinopolis do tocantins,1707108.0,17.0,Divinópolis do Tocantins
Não Usa,Pouco degradado,ABREULANDIA,2,abreulandia,17.0,1700251.0,Abreulândia,abreulandia,,,,,,1700251.0,17.0,Abreulândia
"Aceiros, Descarte correto de embalagens, Adubação",,DARCINÓPOLIS,2,darcinopolis,17.0,1706506.0,darcinópolis,darcinopolis,,,,,,1706506.0,17.0,darcinópolis
"Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",,Nova Rosalândia,2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Adubação,,DIANÓPOLIS,2,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
"Adubação verde, Plantio direto",,PARAISO DO TOCANTINS,2,paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
"Aceiros, Consórcio",,Araguaína,2,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
Aceiros,Pouco degradado,Talisma,2,talisma,17.0,1720978.0,Talismã,talisma,,,,,,1720978.0,17.0,Talismã
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Barrolândia,2,barrolandia,17.0,1703107.0,Barrolândia,barrolandia,,,,,,1703107.0,17.0,Barrolândia
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,FILADÉLFIA,2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Aceiros,,Filadelfia,2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Adubação verde, Calagem, Plantio direto, Adubação",Degradação Média,Nova Rosalãndia,2,nova rosalandia,17.0,1715002.0,Nova Rosalândia,nova rosalandia,,,,,,1715002.0,17.0,Nova Rosalândia
Não Usa,Degradação Média,GURUPI,2,gurupi,17.0,1709500.0,Gurupi,gurupi,,,,,,1709500.0,17.0,Gurupi
Aceiros,Pouco degradado,Filadélfia,2,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
"Curva de nível, Reaproveitamento de residuos",,Couto Magalhães,2,couto magalhaes,17.0,1706001.0,Couto Magalhães,couto magalhaes,,,,,,1706001.0,17.0,Couto Magalhães
"Aceiros, Calagem, Adubação",Pouco degradado,PIUM,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Aceiros,Não possui degradação,PIUM,2,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
Adubação,,LAGOA DA CONFUSÃO - TO,2,lagoa da confusao - to,,,,,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão,lagoa da confusao,1711902.0,17.0,Lagoa da Confusão
"Aceiros, Adubação",Degradação Média,PEIXE,2,peixe,17.0,1716604.0,Peixe,peixe,,,,,,1716604.0,17.0,Peixe
Aceiros,Pouco degradado,Cristalandia,2,cristalandia,17.0,1706100.0,Cristalândia,cristalandia,,,,,,1706100.0,17.0,Cristalândia
"Rotação de Cultura, Aceiros, Calagem, Adubação",,NOVA OLINDA,2,nova olinda,17.0,1714880.0,Nova Olinda,nova olinda,,,,,,1714880.0,17.0,Nova Olinda
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,GOIATINS,2,goiatins,17.0,1709005.0,Goiatins,goiatins,,,,,,1709005.0,17.0,Goiatins
"Aceiros, Adubação",Pouco degradado,Sucupira-TO,2,sucupira-to,,,,,sucupira,1720853.0,17.0,Sucupira,sucupira,1720853.0,17.0,Sucupira
"Adubação verde, Plantio direto",Pouco degradado,CHAPADA DE AREIA,2,chapada de areia,17.0,1704600.0,Chapada de Areia,chapada de areia,,,,,,1704600.0,17.0,Chapada de Areia
Aceiros,,PONTE ALTA DO BOM JESUS,2,ponte alta do bom jesus,17.0,1717800.0,Ponte Alta do Bom Jesus,ponte alta do bom jesus,,,,,,1717800.0,17.0,Ponte Alta do Bom Jesus
