area_da_propriedade__hectares__,atividade_produtiva,Record Count
1 - 5 ha,"Bovinocultura de corte, Mandiocultura, Fruticultura",1
10 - 20 ha,"Suinocultura, Mandiocultura",1
50 - 100 ha,"Bovinocultura de Leite, Avicultura, Apicultura/meliponicultura",1
50 - 100 ha,"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura",1
10 - 20 ha,"Avicultura, Suinocultura, Fruticultura, Culturas Anuais",1
10 - 20 ha,"Avicultura, Suinocultura, Mandiocultura, cana de açucar",1
20 - 50 ha,"Avicultura, Olericultura",1
1 - 5 ha,"Avicultura, Ovinocaprinocultura, Mandiocultura, Fruticultura",1
100 - 200 ha,"Bovinocultura de corte, Avicultura, Suinocultura, silvicultura",1
10 - 20 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
1 - 5 ha,"Bovinocultura de Leite, Fruticultura, Olericultura",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura, Olericultura",1
5 - 10 ha,Culturas Anuais,1
10 - 20 ha,"Bovinocultura de corte, Mandiocultura",1
200 - 320 ha,"Bovinocultura de corte, Ovinocaprinocultura",1
1 - 5 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,"Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura",1
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Pisicultura",1
Até 1 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Mandiocultura, Olericultura",1
100 - 200 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",1
1 - 5 ha,"Suinocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura de corte, Pisicultura, Mandiocultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Banana",1
10 - 20 ha,"Mandiocultura, Fruticultura, Olericultura",1
50 - 100 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura",1
20 - 50 ha,Culturas Anuais,1
20 - 50 ha,"Olericultura, Culturas Anuais",1
10 - 20 ha,"Bovinocultura de Leite, Turismo e artesanato",1
5 - 10 ha,"Bovinocultura de Leite, Avicultura, Pisicultura, Mandiocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Avicultura, Suinocultura, Pisicultura, Mandiocultura, Culturas Anuais",1
100 - 200 ha,"Bovinocultura de corte, Extrativismo Vegetal",1
100 - 200 ha,"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura",1
100 - 200 ha,"Avicultura, Suinocultura",1
5 - 10 ha,"Bovinocultura de corte, Mandiocultura",1
1 - 5 ha,"Avicultura, Apicultura/meliponicultura",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",1
1 - 5 ha,"Avicultura, Extrativismo Vegetal",1
1 - 5 ha,"Mandiocultura, Olericultura, Culturas Anuais",1
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Ovinocaprinocultura, Apicultura/meliponicultura",1
Até 1 ha,"Mandiocultura, Olericultura, Culturas Anuais",1
20 - 50 ha,"Fruticultura, Olericultura",1
20 - 50 ha,Apicultura/meliponicultura,1
